date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:37:23	28444/28444	---M-Z	200	added ('OK')	text/html	etag:%226f1c-5e255722-0;gz%22	https://boostifythemes.com/demo/html/wanderlust/	C:/My%20Web%20Sites/https___boostifythemes.com_demo_html_wanderlust_/boostifythemes.com/demo/html/wanderlust/index.html	(from )
15:37:23	31/31	---M--	200	added ('OK')	text/plain	etag:%221f-5cee03c4-0;;;%22	https://boostifythemes.com/robots.txt		(from )
15:37:23	1776/1776	---M-Z	200	added ('OK')	text/css	etag:%226f0-5e252e0e-0;gz%22	https://boostifythemes.com/demo/html/wanderlust/assets/styles/css/slick.css	C:/My%20Web%20Sites/https___boostifythemes.com_demo_html_wanderlust_/boostifythemes.com/demo/html/wanderlust/assets/styles/css/slick.css	(from https://boostifythemes.com/demo/html/wanderlust/)
15:37:23	2818/2818	---M-Z	200	added ('OK')	text/css	etag:%22b02-5e252e0e-0;gz%22	https://boostifythemes.com/demo/html/wanderlust/assets/styles/css/slick-theme.css	C:/My%20Web%20Sites/https___boostifythemes.com_demo_html_wanderlust_/boostifythemes.com/demo/html/wanderlust/assets/styles/css/slick-theme.css	(from https://boostifythemes.com/demo/html/wanderlust/)
15:37:24	9684/9684	---M-Z	200	added ('OK')	text/css	etag:%2225d4-5e252e0c-0;gz%22	https://boostifythemes.com/demo/html/wanderlust/assets/styles/css/jquery.datepicker2.css	C:/My%20Web%20Sites/https___boostifythemes.com_demo_html_wanderlust_/boostifythemes.com/demo/html/wanderlust/assets/styles/css/jquery.datepicker2.css	(from https://boostifythemes.com/demo/html/wanderlust/)
15:37:24	77907/77907	---M-Z	200	added ('OK')	text/css	etag:%2213053-5e252e0c-0;gz%22	https://boostifythemes.com/demo/html/wanderlust/assets/styles/css/animate.css	C:/My%20Web%20Sites/https___boostifythemes.com_demo_html_wanderlust_/boostifythemes.com/demo/html/wanderlust/assets/styles/css/animate.css	(from https://boostifythemes.com/demo/html/wanderlust/)
15:37:25	28444/28444	---M-Z	200	added ('OK')	text/html	etag:%226f1c-5e255722-0;gz%22	https://boostifythemes.com/demo/html/wanderlust/index.html	C:/My%20Web%20Sites/https___boostifythemes.com_demo_html_wanderlust_/boostifythemes.com/demo/html/wanderlust/index-2.html	(from https://boostifythemes.com/demo/html/wanderlust/)
15:37:25	309444/309444	---M-Z	200	added ('OK')	text/css	etag:%224b8c4-5e25570a-0;gz%22	https://boostifythemes.com/demo/html/wanderlust/assets/styles/style.css	C:/My%20Web%20Sites/https___boostifythemes.com_demo_html_wanderlust_/boostifythemes.com/demo/html/wanderlust/assets/styles/style.css	(from https://boostifythemes.com/demo/html/wanderlust/)
15:37:26	4087/4087	---M--	200	added ('OK')	image/png	etag:%22ff7-5e252dc9-0;;;%22	https://boostifythemes.com/demo/html/wanderlust/assets/images/logo.png	C:/My%20Web%20Sites/https___boostifythemes.com_demo_html_wanderlust_/boostifythemes.com/demo/html/wanderlust/assets/images/logo.png	(from https://boostifythemes.com/demo/html/wanderlust/)
15:37:26	36075/36075	---M-Z	200	added ('OK')	text/html	etag:%228ceb-5e255725-0;gz%22	https://boostifythemes.com/demo/html/wanderlust/index-2.html	C:/My%20Web%20Sites/https___boostifythemes.com_demo_html_wanderlust_/boostifythemes.com/demo/html/wanderlust/index-3.html	(from https://boostifythemes.com/demo/html/wanderlust/)
15:37:26	34802/34802	---M-Z	200	added ('OK')	text/html	etag:%2287f2-5e255725-0;gz%22	https://boostifythemes.com/demo/html/wanderlust/index-3.html	C:/My%20Web%20Sites/https___boostifythemes.com_demo_html_wanderlust_/boostifythemes.com/demo/html/wanderlust/index-4.html	(from https://boostifythemes.com/demo/html/wanderlust/)
15:37:27	34630/34630	---M-Z	200	added ('OK')	text/html	etag:%228746-5e255723-0;gz%22	https://boostifythemes.com/demo/html/wanderlust/index-4.html	C:/My%20Web%20Sites/https___boostifythemes.com_demo_html_wanderlust_/boostifythemes.com/demo/html/wanderlust/index-5.html	(from https://boostifythemes.com/demo/html/wanderlust/)
15:37:27	25750/25750	---M-Z	200	added ('OK')	text/html	etag:%226496-5e255723-0;gz%22	https://boostifythemes.com/demo/html/wanderlust/index-5.html	C:/My%20Web%20Sites/https___boostifythemes.com_demo_html_wanderlust_/boostifythemes.com/demo/html/wanderlust/index-6.html	(from https://boostifythemes.com/demo/html/wanderlust/)
15:37:27	30030/30030	---M-Z	200	added ('OK')	text/html	etag:%22754e-5e255722-0;gz%22	https://boostifythemes.com/demo/html/wanderlust/tour-grid.html	C:/My%20Web%20Sites/https___boostifythemes.com_demo_html_wanderlust_/boostifythemes.com/demo/html/wanderlust/tour-grid.html	(from https://boostifythemes.com/demo/html/wanderlust/)
15:37:27	26495/26495	---M-Z	200	added ('OK')	text/html	etag:%22677f-5e25571e-0;gz%22	https://boostifythemes.com/demo/html/wanderlust/tour-list.html	C:/My%20Web%20Sites/https___boostifythemes.com_demo_html_wanderlust_/boostifythemes.com/demo/html/wanderlust/tour-list.html	(from https://boostifythemes.com/demo/html/wanderlust/)
15:37:28	36430/36430	---M-Z	200	added ('OK')	text/html	etag:%228e4e-5e2569d5-0;gz%22	https://boostifythemes.com/demo/html/wanderlust/tour-item.html	C:/My%20Web%20Sites/https___boostifythemes.com_demo_html_wanderlust_/boostifythemes.com/demo/html/wanderlust/tour-item.html	(from https://boostifythemes.com/demo/html/wanderlust/)
15:37:28	36157/36157	---M-Z	200	added ('OK')	text/html	etag:%228d3d-5e255721-0;gz%22	https://boostifythemes.com/demo/html/wanderlust/tour-item-2.html	C:/My%20Web%20Sites/https___boostifythemes.com_demo_html_wanderlust_/boostifythemes.com/demo/html/wanderlust/tour-item-2.html	(from https://boostifythemes.com/demo/html/wanderlust/)
15:37:28	36317/36317	---M-Z	200	added ('OK')	text/html	etag:%228ddd-5e25571f-0;gz%22	https://boostifythemes.com/demo/html/wanderlust/tour-item-3.html	C:/My%20Web%20Sites/https___boostifythemes.com_demo_html_wanderlust_/boostifythemes.com/demo/html/wanderlust/tour-item-3.html	(from https://boostifythemes.com/demo/html/wanderlust/)
15:37:28	17356/17356	---M-Z	200	added ('OK')	text/html	etag:%2243cc-5e255728-0;gz%22	https://boostifythemes.com/demo/html/wanderlust/destination-grid.html	C:/My%20Web%20Sites/https___boostifythemes.com_demo_html_wanderlust_/boostifythemes.com/demo/html/wanderlust/destination-grid.html	(from https://boostifythemes.com/demo/html/wanderlust/)
15:37:29	18065/18065	---M-Z	200	added ('OK')	text/html	etag:%224691-5e255726-0;gz%22	https://boostifythemes.com/demo/html/wanderlust/destination-mansory.html	C:/My%20Web%20Sites/https___boostifythemes.com_demo_html_wanderlust_/boostifythemes.com/demo/html/wanderlust/destination-mansory.html	(from https://boostifythemes.com/demo/html/wanderlust/)
15:37:29	23593/23593	---M-Z	200	added ('OK')	text/html	etag:%225c29-5e255726-0;gz%22	https://boostifythemes.com/demo/html/wanderlust/destination-item.html	C:/My%20Web%20Sites/https___boostifythemes.com_demo_html_wanderlust_/boostifythemes.com/demo/html/wanderlust/destination-item.html	(from https://boostifythemes.com/demo/html/wanderlust/)
15:37:29	18451/18451	---M-Z	200	added ('OK')	text/html	etag:%224813-5e255729-0;gz%22	https://boostifythemes.com/demo/html/wanderlust/blog.html	C:/My%20Web%20Sites/https___boostifythemes.com_demo_html_wanderlust_/boostifythemes.com/demo/html/wanderlust/blog.html	(from https://boostifythemes.com/demo/html/wanderlust/)
15:37:29	23488/23488	---M-Z	200	added ('OK')	text/html	etag:%225bc0-5e25572a-0;gz%22	https://boostifythemes.com/demo/html/wanderlust/blog-grid.html	C:/My%20Web%20Sites/https___boostifythemes.com_demo_html_wanderlust_/boostifythemes.com/demo/html/wanderlust/blog-grid.html	(from https://boostifythemes.com/demo/html/wanderlust/)
15:37:30	20639/20639	---M-Z	200	added ('OK')	text/html	etag:%22509f-5e255729-0;gz%22	https://boostifythemes.com/demo/html/wanderlust/blog-single.html	C:/My%20Web%20Sites/https___boostifythemes.com_demo_html_wanderlust_/boostifythemes.com/demo/html/wanderlust/blog-single.html	(from https://boostifythemes.com/demo/html/wanderlust/)
15:37:30	22526/22526	---M-Z	200	added ('OK')	text/html	etag:%2257fe-5e25572a-0;gz%22	https://boostifythemes.com/demo/html/wanderlust/aboutus.html	C:/My%20Web%20Sites/https___boostifythemes.com_demo_html_wanderlust_/boostifythemes.com/demo/html/wanderlust/aboutus.html	(from https://boostifythemes.com/demo/html/wanderlust/)
15:37:30	7269/7269	---M-Z	200	added ('OK')	text/html	etag:%221c65-5e25572b-0;gz%22	https://boostifythemes.com/demo/html/wanderlust/404.html	C:/My%20Web%20Sites/https___boostifythemes.com_demo_html_wanderlust_/boostifythemes.com/demo/html/wanderlust/404.html	(from https://boostifythemes.com/demo/html/wanderlust/)
